Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,AUS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.027195199,0.191275208,0.562190741,1.083749875,1.686293682,2.84081166,3.905586687,6.832819938,12.40593183,21.79018077,24.7232273,26.28400406,33.366797,44.70317966,57.34301757,64.47377795,72.11214653,81.87843437,90.31713966,95.46862242,100.8897853,102.8908994,101.1311197,100.9013857,
Austria,AUT,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.129041895,0.252371465,0.346197139,0.486518889,0.665667747,0.959878091,1.488118917,2.199456707,2.793691536,3.505479631,4.825384819,7.522386244,14.55439298,28.74464901,53.18093961,76.35211393,81.33252544,83.34614995,89.56558475,97.79776372,105.3133214,112.2433541,119.41035,129.7360682,136.6840899,145.8998808,
Azerbaijan,AZE,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006581545,0.07807417,0.218987505,0.510317992,0.821433085,4.634994206,5.223268643,8.999901371,9.718610613,12.83807581,17.53473786,26.71639746,39.17119942,52.66101873,74.71985759,86.69843884,100.5093108,
"Bahamas, The",BHS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750406047,0.774406257,0.978322628,0.886956457,,1.465468557,1.744237284,2.158646598,2.777978532,5.412125665,10.59092696,20.07751835,39.81641656,39.4028388,59.09880885,71.32152631,78.06650497,113.7255558,107.3095147,106.0450765,124.8912536,
Bahrain,BHR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.143439056,0.383734327,0.624426635,0.889339847,1.044247105,1.451394851,1.863204643,2.13388634,3.230343517,4.936778823,6.971477473,9.872577093,15.06175182,21.29474364,32.23585969,46.62760113,60.58373698,68.46935244,96.72561629,105.8354845,111.8340913,120.55085,136.9097428,119.8700728,124.1679873,
Bangladesh,BGD,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226808,0.000443871,0.000959508,0.002127896,0.003335316,0.021246968,0.06009454,0.117124699,0.21529061,0.394104846,0.800646905,0.999891821,2.006414024,6.401687906,13.43906744,23.87521729,30.68498876,35.65935407,46.16926264,
Barbados,BRB,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186671071,0.304822008,0.59568131,1.129696121,1.751602029,2.377789636,3.022769797,4.512279039,7.613267456,10.64143157,19.80334984,36.15636149,51.96945681,74.13973854,76.22466294,87.47777261,94.83760281,106.0555515,123.5787351,127.7594891,
Belarus,BLR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003164372,0.016857338,0.057847754,0.064448819,0.080725512,0.120717052,0.233751868,0.493283358,1.387416168,4.661259446,11.32270188,22.79295601,41.93608134,61.2381197,71.73778602,84.64903145,101.8849269,108.881981,
Belgium,BEL,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.038512149,0.073179623,0.193442234,0.309840399,0.430203366,0.513969433,0.611837066,0.672033001,1.266073807,2.320828513,4.707975681,9.571462036,17.21342373,31.16048736,54.91037678,74.82571936,78.40845426,82.93874028,87.6267628,91.65994902,93.35811728,101.0580103,105.8985303,109.065416,111.5458976,
Belize,BLZ,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195121951,0.394312796,0.714549654,0.983783784,1.106086957,1.482180294,2.711229947,6.730184147,15.21764477,19.50565611,22.06905371,26.53927813,32.89924606,39.15244902,37.98202247,49.68394908,48.55432173,56.29014493,
Benin,BEN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018580319,0.046496169,0.071725673,0.102133196,0.11484363,0.851144786,1.859749035,3.153221,3.296242723,6.208744678,7.810924555,13.41166535,25.29131017,43.38648489,58.51526389,79.94253107,
Bermuda,BMU,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,1.25,1.838016529,2.360655738,3.173770492,5.573770492,8.363784666,10.24959481,12.91555554,16.60847128,20.29108642,20.63033413,20.92353254,21.34646174,47.80876494,63.45177665,77.38471257,82.93220072,94.20062696,107.8125,123.0529595,131.9875776,136.5325077,
Bhutan,BTN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361128772,2.979140722,5.460394696,12.16545301,21.70245766,36.13378522,47.49259106,54.31349862,
Bolivia,BOL,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004329427,0.022239212,0.037250266,0.055529467,0.09676178,0.43730889,1.517528788,3.001692209,5.164691315,7.013393605,9.200705132,11.83501049,14.50609018,20.04681775,26.4730877,30.90413747,34.38908471,52.3846526,66.14241596,72.30630476,
Bosnia and Herzegovina,BIH,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045376553,0.267410186,0.723532699,1.460722078,2.528252174,11.86411694,19.83059327,28.41317497,37.22051707,42.16785449,49.92135579,64.8426291,84.23152783,86.45204493,82.71896277,
Botswana,BWA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895854946,5.323522621,12.6393333,18.61997737,18.37638674,24.31405034,28.22739781,30.05758466,43.29884976,59.75289748,76.00645992,94.57628675,117.7583956,
Brazil,BRA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445706,0.004403639,0.020700973,0.115934035,0.36010928,0.794283348,1.520089834,2.726687053,4.349348021,8.743180198,13.29403443,16.25182871,19.45513659,25.53128953,35.67944477,46.3528917,53.16001917,63.7414822,78.64616123,90.01936334,104.1026915,
Brunei Darussalam,BRN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.702825979,1.166346002,1.537890657,3.026558929,5.540070922,12.38924914,14.64527504,14.76736478,15.7355805,20.64732492,29.04878974,42.77100506,44.98060512,50.85428548,56.87820803,64.13804689,81.38972826,96.98685873,103.681358,105.3708557,109.0486216,
Bulgaria,BGR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011803152,0.076981464,0.248867871,0.317930805,0.84214903,1.538128759,4.262769797,9.03285757,19.32600375,33.01211875,44.74779183,60.7843868,80.68478921,107.2008645,129.2138635,136.8027237,137.8331106,135.3854792,
Burkina Faso,BFA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004776127,0.013298992,0.023491633,0.042136262,0.20534387,0.602333531,0.852933459,1.777404654,2.871258739,4.462130866,6.952475421,12.33664652,19.49145802,23.92086098,34.66025018,
Burundi,BDI,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005949479,0.006282068,0.009266027,0.009136424,0.010013762,0.009962216,0.01273143,0.256026225,0.514119754,0.781241666,0.935841623,1.428503648,2.109930408,2.67581331,3.502953704,6.050115914,10.26103395,13.72584109,
Cambodia,KHM,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045638969,0.094263809,0.126239644,0.201573316,0.286040961,0.511799974,0.72900836,1.048827307,1.765952113,2.958298424,3.826638947,6.529502399,7.950545511,12.73797556,18.89791532,30.65260163,44.84220559,57.64738666,
Cameroon,CMR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011773624,0.020085598,0.024496981,0.02870439,0.033386306,0.039154138,0.658739814,2.601632433,4.275374,6.417067947,8.918404823,12.83217922,17.47201351,24.71931641,32.84272035,41.74241623,44.06679933,
Canada,CAN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.046257035,0.228972676,0.370485876,0.753422569,1.260739983,2.100557735,2.753939225,3.599668632,4.623046609,6.408989415,8.822579546,11.7881868,13.9893021,17.67395422,22.65973534,28.36231747,34.26109729,37.85472865,41.95921202,46.94483513,52.66340678,57.55481769,61.57778443,66.30581656,70.59626104,70.43712126,
Cape Verde,CPV,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484387,0.242163517,1.879434772,4.51218787,7.078697629,9.48646022,11.59530553,14.09217111,17.28144171,22.76092643,31.51237105,56.97302466,59.1148466,74.97399194,
Cayman Islands,CYM,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2.042904652,3.441309648,4.189665492,5.767089735,7.727494511,,11.62014649,14.08565824,21.96740153,26.6202264,39.99905885,42.11272913,44.00292795,67.23290832,154.8653096,172.3246202,185.6233655,177.7972692,194.9303301,177.6471634,
